EFECTIVO,CXC,INVENTARIO,EQ_OFICINA,EQ_TRANSPORTE,TERRENOS_Y_CONSTRUCCIONES,CXP,CONTRIBUCIONES_X_PAGAR,ANTICIPOS_CTE,CAP_SOCIAL,UTILIDADES_ACUMULADAS,UTILIDAD_O_PERDIDA,TOTAL_VENTAS,TOTAL_COMPRAS,UTILIDAD_BRUTA,TOTAL_GASTOS,OBJETIVO
320780.1165,11707031.86,9124352.431,240772.3563,575984.634,6268167.603,15991320.64,214105.4584,22961.40108,6159339.321,-4227571.214,321947.6174,53660460.59,,26878171.05,42358541.79,Aceptado
2042486.611,6048662.328,1517549.202,5000280.912,,2539351.965,,300254.1955,313244.3973,,-10101761.21,962093.4619,39510421.8,31114821.02,13921922.18,26866860.53,Aceptado
418580.1319,21527126.29,,,1595479.181,7055964.997,49820391.5,233663.8759,2817300.039,1281395.614,13219329.69,-4199132.952,277787232.5,87067750.73,19136937.45,20346756.79,Aceptado
475104.1931,12172000.22,,3607021.233,3931320.556,4363683.276,16847589.68,78268.0289,2722588.842,,-1014287.156,-95113.33015,126426466.7,59072165.42,22893246.38,,Aceptado
564576.6242,22642699.18,24852451.04,,1468341.351,,32793538.18,391876.7045,,3347873.577,13752335.21,-6689238.175,151538426.7,502901324.8,18025546.65,13528973.74,Aceptado
124356.0074,25943453.42,7414540.304,2143219.416,501798.9532,,51411320.06,,1011564.995,889077.7454,7891550.797,-4324234.821,91707505.53,48109420.27,22312975.98,20361992.71,Aceptado
2915003.4,12881856.87,2777835.248,928635.6562,1003492.729,-7681321.837,11898313.29,324171.0132,5106183.891,4588227.884,5566620.556,-858368.6963,,37746632.01,,,Aceptado
712484.4015,11334749.28,846392.2942,2316947.219,2128513.979,-1780099.959,11947425.88,869741.043,,4423991.3,,976521.4523,144923108.8,7018286.139,15026498.4,14243499.55,Aceptado
509643.8496,10955794.87,4264590.395,,568052.8785,2016615.399,18265802.77,188527.8309,2267355.069,3963784.761,5389734.783,-1945060.564,64049320.48,,6367306.555,,Aceptado
231950.0035,4193129.72,203084.4667,50367.94445,372943.9784,-6388174.379,615219.5011,141881.6986,438174.6545,1348700.932,10167200.53,,,2013202.506,2732984.991,3437515.632,Aceptado
1766266.927,32241323.29,,681117.6651,,-4975220.483,,,3331598.429,5591945.498,13991627.52,-2534623.178,123442551.6,97607364.88,18367823.86,20111313.9,Aceptado
101903.4014,18391721.38,64512418.19,331012.7436,1010755.029,8603895.926,,,,127626.5982,12361811.88,-8242819.633,245077589.1,211356776.6,11568319.16,10078578.06,Aceptado
3060425.57,79062817.64,23785778.3,1896766.481,1637435.148,-5208971.494,77727167.94,1657540.259,3922156.267,8771629.913,,-5112025.848,276886255.7,746420794.8,33424275.37,47472525.12,Aceptado
706532.8661,9760618.885,,554469.3473,2156578.356,5028004.703,26586054.83,245959.6917,3163788.036,5129799.379,901202.993,-1681066.131,122100501.8,136550993.8,26102636.17,19166818.25,Aceptado
3470099.143,,21301585.78,3180572.019,2854710.852,,,412206.4661,,9703065.325,,820113.1939,357878557.9,102103596.4,58751879.19,70808464.74,Aceptado
5849753.756,22270469.47,28672.71761,,1394373.587,,10917743.3,473221.2765,5143626.653,1099425.207,10786866.32,-2626912.387,44879259.38,102045153.9,9172238.897,,Sospechoso
532383.4668,10475628.16,,964629.1365,581556.023,,7330902.869,334064.8721,431994.3595,1980884.044,1470097.176,,29531406.21,39363118.72,18653853.77,18269321.8,Aceptado
1650295.781,14098983.6,8259477.613,3170067.665,4287535.424,4724235.92,23294277.05,234807.2318,4070821.826,8338519.099,119446.2448,918475.0523,190564505.6,,,,Aceptado
3092515.194,,32664884.64,,1088615.476,1696407.261,102578446.8,1658412.858,10141101.16,,12392927.4,-3950013.417,208188652.2,295074562.9,58639848.79,39682854.29,Aceptado
3284617.82,1157417.578,51889.99284,497179.9887,1268711.206,-11401873.38,221690.5235,146137.1967,,,5036649.494,1207952.707,53182890.63,1398491.811,5813009.951,6696991.614,Aceptado
6238972.312,88589498.7,25268303.48,12297744.46,5657226.257,-4380766.633,,,4143281.459,6232231.741,14294985.41,-76316.92021,465601517.6,1031129865,105125578.9,,Aceptado
733528.2473,14640524.55,16719713.73,504058.7628,2063480.358,5972632.07,26117708.94,222195.9635,,9131227.057,,635896.4246,119811806.8,93294129.88,50081070.37,39868739.38,Aceptado
,112668.2522,331248.4916,96085.21457,1260890.354,6858110.035,352281.3749,64906.26797,,414054.5845,,728658.358,14306337.64,6152983.273,7639187.107,3383474.876,Aceptado
2741392.829,4171549.083,2813408.114,1241380.787,1112251.064,-2577196.994,5245075.681,158770.9756,,2616790.624,-2737116.089,343028.0727,46521766.14,16724428.22,,8774264.295,Aceptado
,4467347.614,719933.8728,,1080163.172,-6750832.858,7982458.986,170887.5473,9774539.415,1759189.261,6577083.668,-3594910.17,51870198.45,,,1155647.303,Sospechoso
163136.3184,3135272.298,2431903.492,827488.0454,844878.4548,6323700.376,5982067.059,161583.9426,221357.9078,954499.9556,-3875038.827,-145551.5604,32060138.68,14034307.5,11460875.66,12282917.55,Aceptado
59916.02855,10037635.18,1688342.612,1435590.776,288343.4826,4732212.957,,143362.9407,,,6428725.937,-3836795.149,36815569.27,19574253.02,,9009414.143,Aceptado
,1522392.919,8439046.658,117375.5718,620748.796,8079312.567,7105460.088,116495.8138,350487.3252,2004059.623,-7752790.376,-1611549.858,,27273241.61,12463658.36,10134914.67,Aceptado
,6298946.805,1475154.259,,3808622.318,900096.5462,3668534.697,130283.4074,239128.7009,2414392.987,2310181.636,,131845687.1,,18852088.19,22435091.06,Aceptado
695395.6794,37105596.89,51862419.31,1676756.549,2073740.241,5262272.433,65066067.66,959235.2955,8341231.433,1010614.95,23847016.97,,328059982.7,405400479.8,23653369.65,,Aceptado
91215.50792,534741.2572,28294059.6,133148.5877,367763.632,8803333.096,8745603.492,166201.4723,1917919.214,2266462.932,-11933806.82,-5527267.844,14003952.15,42267741.9,,4358418.909,Aceptado
5430910.621,22918010.5,583480.4597,4288125.123,596236.3539,-7917524.295,12650827.58,816534.9217,2489765.62,15472740.98,1240350.981,356036.3792,26396399.03,18426600.89,7184348.956,,Aceptado
4284264.527,67222188.5,22720375.85,15996990.26,6566753.602,-2932414.84,76829353.47,1149761.446,5761786.599,4946626.359,19159813.48,-639967.5534,471645997.7,763205611.7,74019120.05,55567351.42,Aceptado
838285.3694,,662002.0789,2659313.606,2897689.741,-8909487.291,8380298.906,174742.0791,2862760.036,,12498656.59,-4021449.352,106517974.4,129105674.5,5254199.054,5715174.408,Sospechoso
1882793.086,54505357.93,,16113434.56,1509945.223,5972997.4,64549624.55,875548.4724,2718382.642,,9879489.799,-1769202.507,190299899.1,87802165.24,34297476.96,42869493.91,Aceptado
1308453.909,50722975.82,32119816.83,2812303.746,3346092.937,2589250.171,70679106.12,785845.8086,,4181010.608,19061229.95,-2384854.477,360489954.3,364810668.8,48899158.25,44044160.25,Aceptado
964008.1291,8467196.006,876938.0405,,421902.3627,-3187410.452,10976143.92,110634.4385,352865.3821,,4549524.67,-340589.4195,57735048.09,,9435905.064,,Aceptado
822881.2523,4832549.633,791368.8343,,896989.8105,-4723967.244,4632785.372,284819.6812,967486.6194,3273387.216,-1625487.742,-861896.393,17556875.66,,,12618962.4,Aceptado
2270232.196,,5055917.408,272886.2524,637861.9828,-9986630.704,14261202.7,608555.5956,2748297.99,4862265.617,,-496042.6323,122535155.1,37376456.37,20577800.85,,Aceptado
,4269407.928,176109.4732,733456.8064,1377474.621,-14105012.21,3468412.49,289443.2446,2297242.436,4099789.427,3869700.756,-188599.8839,,81387494.88,10050065.66,10200882.76,Aceptado
245621.4954,294931.8445,209820.7493,146901.6484,445010.4272,,413780.3131,19895.23025,169869.8462,24327.38433,,-644889.5763,,6211138.574,1036459.681,2481517.805,Aceptado
24474.8968,3720849.403,4055066.22,138927.9935,,7797508.55,8048028.512,78182.0211,602506.9045,,2758752.539,-1977719.07,37529333.31,8286515.067,8402124.172,,Aceptado
791166.5772,2592349.779,5665850.243,2724781.088,3385178.943,,4138671.487,79735.68405,,489128.7278,-6389151.587,-156417.3712,64595256.09,35143129.64,9254822.955,6294458.485,Aceptado
1916303.326,2238738.47,1943840.507,3184300.204,2435132.194,-966163.3764,8570025.159,56305.06241,2276825.24,,3294872.612,,138589187,8931730.684,7781008.837,6025030.894,Aceptado
67475.25671,2541322.867,1385526.375,279135.1678,323323.669,5899189.45,3201162.703,65571.08775,13167.33675,142182.8812,-6299910.985,,15955318.68,15563727.01,,,Aceptado
80490.26223,2699242.3,1175941.609,114264.2033,64437.57541,5344081.381,5332379.065,499427.2155,47008.25615,5485500.475,,694750.1396,10046791.52,,24203860.79,18595328.91,Aceptado
756958.1646,7968600.874,,640703.5321,655950.2436,-8400610.087,6585936.187,105157.4202,,472643.8918,7824591.953,,59124450.64,17371539.64,4803347.028,8159472.954,Aceptado
,,15417330.12,838282.5046,1941462.786,-5224933.222,,672376.2234,,,19174145.75,-1831603.134,232182926.5,,22853223.16,,Aceptado
292899.0562,5819495.372,16494894.76,86564.30091,459780.8059,,13554981.03,112565.0941,2508093.244,3283902.861,592548.7498,-2942859.144,62078793.39,26502869.1,,7972271.556,Aceptado
1994914.887,5978899.406,11963.10748,,856497.8784,-13773588.69,4103860.713,178669.6027,,3311825.78,2260385.545,-224284.2552,21053554.27,,8670883.759,5386100.923,Aceptado
,5870089.193,8316394.011,4072146.024,2665121.55,970713.0431,21412935.72,393142.3473,2274747.163,1686650.372,2146595.658,-3544404.917,,309672107.4,13733187.24,17766490.14,Aceptado
,14672351.36,16028192.41,219653.598,2272803.285,,18146052.1,575992.4375,,4841284.51,14555435.45,-989540.0337,234024496.6,,18246725.17,19188585.81,Aceptado
628859.7218,24119893.93,14776381.65,3643148.665,640203.3185,4822903.797,51545136.26,530044.8517,6736454.4,2591388.998,10872131.46,-6387189.521,80068997.44,99814165.7,9609799.94,13448832.05,Aceptado
236721.3099,8171328.392,,129595.8118,92292.1077,2326187.803,16087752.88,366459.1187,,2149624.498,13026086.04,-3802506.175,48528209.9,13119957.1,8101610.224,7646892.784,Aceptado
12359857.84,40133590.71,81999342.6,8361710.468,,4146087.891,,1023671.896,23541825.02,8092523.673,11676118.94,-7177420.101,396091756.1,,25378906.29,29599521.56,Aceptado
,4720155.339,1570941.861,315982.0244,325191.3218,1734335.969,3181497.63,427128.4905,687607.9202,3124398.068,745042.0902,-4521654.098,9213403.093,37610370.42,,5970889.338,Aceptado
1265904.959,65360074.02,14656272.1,18509807.42,3477834.665,90024.37707,89864361.3,,1574189.817,1282225.866,,-3444845.891,307862358.3,749259351.7,56236482.7,54442712.66,Aceptado
251694.3014,1659023.964,5606625.591,228416.191,377527.0759,7740091.602,,101885.5791,53915.09502,5987710.297,-16489933.7,-91931.82699,10228080.11,26857674.45,12396803.81,22513735.4,Aceptado
2895499.299,,138630.3756,2369235.047,988262.3329,-13331364.05,,1266466.946,868861.1759,2539350.848,,-1782947.091,54756115.6,71257035.95,7405899.573,14239330.83,Aceptado
128861.9207,43220.35104,1486.09859,217868.4734,433159.2052,,67662.13965,62714.80279,564232.0196,186412.1661,-3241504.635,-1006365.573,3190908.302,1911870.775,33132.85043,121240.0173,Aceptado
369034.5109,295280.6211,,,,,408502.5397,77440.39572,2206783.993,388572.998,-5099863.406,-610053.4586,,9149311.148,1106136.745,253574.9919,Aceptado
332103.0919,14442435.35,13438341.73,510124.7257,2650942.876,5891995.128,21750203.61,,228493.4619,2907047.425,2784632.189,300652.2889,157395779.6,94767531.68,36974075.48,38760237.34,Aceptado
607146.7774,3661189.304,2093471.566,2428621.36,,-1626319.174,8027889.379,205965.0634,1045214.813,476254.8642,2972301.949,-1356127.663,,243960879.5,,15805938.31,Aceptado
2188140.14,102604128.3,51117239.29,,,-1220209.968,,785883.1395,10887873.5,1297721.115,32872025.2,-4996840.237,639961380.1,184670467.7,51786075.23,35865332.89,Aceptado
187829.6061,3167071.453,48310861.82,53196.90631,430395.551,8380444.928,15913644.31,,4950997.871,1774411.905,-4589637.463,-7135965.095,38379036.16,140023946.1,7124777.429,5449074.856,Aceptado
4484789.457,,282293.2477,19797701.19,2219076.306,-11547185.63,25473814.23,345813.6313,,1843669.446,9499713.634,636939.128,122881438.8,46990021.26,34056143.23,,Aceptado
8152315.71,72576505.59,32215741.9,9877693.099,2962732.343,-4116123.25,68603626.27,1610559.888,,3984259.021,24913557.91,-2324496.815,437593573.6,212234550.6,38427591.23,,Aceptado
1651737.576,,10335325.51,960700.5787,874702.3953,1281407.821,38028961.36,275714.426,1928436.338,,6965292.218,64243.75435,149171083.7,26459743.8,27792604.29,27630664.22,Aceptado
2219071.44,7131499.579,90007.83037,3446594.425,3513452.67,-13013410.77,1002560.735,944809.4234,1337697.882,770688.2801,13500214.28,-510572.8851,68275694.45,,4543514.974,7583622.405,Aceptado
59026.83087,,,,27528.63142,-4323534.849,6318.848889,27900.18689,1713107.752,,-7263415.98,-2271899.485,,802138.7996,9457.498471,3979.023922,Aceptado
,14062979.51,6473263.052,1048747.118,581228.8435,6368525.635,18111659.22,93737.89901,263667.0482,380935.3822,2380335.714,-2118903.966,38094117.28,49700002.41,22971649.79,24050654.49,Aceptado
996818.6924,4541938.852,3453364.901,482496.821,,1431092.362,9640449.631,65708.94372,1451047.22,2293318.178,-5754647.97,-1389044.856,10310699.42,11286471.54,7180138.134,9679380.452,Aceptado
14747.67329,5001.991384,920007.4332,37509.66992,,,166922.5297,,35065.8154,249212.6825,-17950936.32,-233046.2755,2437514.499,2423623.701,1154761.106,1118284.862,Aceptado
,12807108.88,32100064.76,522389.7056,2854648.993,7483738.589,46803209.64,189040.8995,1853456.019,1485146.873,4854612.164,-4419096.949,218919115.8,400305612.1,34254230.64,24155660.06,Aceptado
65790.42182,,39213763.86,3240.925439,179071.5788,8857199.57,3381368.516,62065.80781,1512285.702,9771284.496,-12535280.64,-251631.7537,29960777.22,3685098.062,5969217.075,4289548.091,Aceptado
348543.4725,548341.485,129917.9055,53966.43894,94400.19362,-1789542.229,957844.0009,104291.6186,,4967266.33,-5885437.212,435589.5469,6421749.469,2167996.053,1324290.807,3140743.971,Aceptado
158297.795,839666.2483,270917.5768,,618874.1724,-653036.0407,261399.1687,84271.3357,139805.0527,786103.593,-1386936.406,563362.0794,13285969.91,,,4811423.235,Aceptado
635573.2533,,2610.660609,3034598.646,2292334.47,-7061423.052,660849.6707,152175.011,239279.9433,908791.6444,-1018528.199,1021098.779,25258024.32,6076935.403,2310874.131,5519082.239,Aceptado
129442.5879,10469.80491,183185.8254,4962.830262,603663.2393,3367707.367,3201.168328,,359.898311,3171412.317,-17145455.44,,4872625.297,2110279.035,1368426.939,,Aceptado
6011311.671,3412533.261,233254.8158,5358069.083,2491693.554,-6003758.957,6281680.184,403892.659,7483430.449,14552786.29,,799974.1345,27770195.69,18916367.64,4672728.661,5801814.716,Aceptado
,,367396.0389,126863.2724,691485.2419,,696554.98,78100.99279,324858.583,,-5125174.728,626171.2685,15863985.27,4317357.82,2686107.428,4060578.581,Aceptado
124601.9641,194144.4647,1834790.574,359511.2591,668056.2563,8398003.088,,34840.00398,342061.4773,,-20541913.89,,11977172.84,3816077.785,,4641821.613,Aceptado
,10570345.98,23852324.26,123761.268,55591.60118,7475960.913,25209410.22,566265.9885,958725.4099,6756795.977,137216.9101,-2766821.152,35799185.38,,26883477.45,21181600.05,Aceptado
97163.59467,,,174206.9852,58491.85995,5939906.111,11253949.37,218552.4497,263163.8004,656822.3325,5771131.536,-5664808.492,,11411200.09,,6106785.802,Aceptado
368210.2858,10846856.66,3412679.857,683616.4848,345508.9696,4233991.912,15656663.77,129076.4692,591068.6493,3716680.749,-4367727.309,,29381979.75,16932057.26,,18545320.38,Aceptado
134694.7375,512736.9973,1762849.546,125208.5779,993967.5643,5723483.194,,20065.48752,50033.07654,,,,28023052.98,11913183.99,11557534.18,,Aceptado
1599492.458,31492239.79,,4272058.205,4040511.219,-942220.0426,31964246.38,839768.8755,4415010.54,1884180.382,19321122.25,-1960434.711,303520409.6,154736265.2,21401181.32,23280950.14,Aceptado
3376534.408,23813054.4,35841763.79,1249002.762,,3226607.766,50475073.82,2459669.133,15762954.05,,6661607.36,-6992223.109,97402678.94,565704551.7,10342471.51,15312989.59,Aceptado
1502370.517,36904085.63,60696654.45,4065517.451,1495228.439,8110173.073,,729016.9354,4576307.621,8397237.146,1126507.105,-4378911.635,156364607.9,404446656.8,43016058.99,42427924.89,Aceptado
,782156.3279,9083.9848,,688806.9625,,286052.1914,,106343.7741,357330.0539,-762176.1265,260831.1805,8014782.669,8221536.356,3090061.992,3851491.222,Aceptado
333254.9015,,15279511.17,135818.7305,902583.8865,6796660.527,7182156.012,130322.0373,664604.3664,3158948.322,475160.6974,-1720389.737,,31678060.63,4762427.391,13777361.22,Aceptado
,741.15507,,3401.902753,20946.24941,8574533.501,28938.75446,28885.43143,5245.808534,1113082.938,,504318.5725,598542.6116,636021.8758,,806066.0515,Aceptado
,,36870651.85,68704.62148,12834.7281,8773662.433,19583595.83,150735.5793,529920.4231,,-1989864.589,-6822773.085,23807508.79,14470944.61,4482280.73,8220156.067,Aceptado
,15894248.47,5202012.281,3951624.104,765298.3665,573072.5035,20268244.6,373668.0206,3938962.756,4093889.24,3611596.678,-1427211.813,53290337.95,27134144.64,9728379.336,,Aceptado
333125.9624,11708528.43,18827377.47,882466.6869,421947.915,6512368.161,26877941.42,439244.6145,4945569.772,1921164.996,6741736.851,-5879792.993,55430564.87,58990919.92,,,Aceptado
826927.857,18216147.35,4161713.905,1037917.935,1414740.927,-3387162.563,9388726.351,289963.1389,,371321.8785,15822045.36,,156252736.8,28783442.71,14088161.36,23581012.67,Aceptado
1807838.496,,28413813.5,26135057.52,805528.3384,3625700.776,130288643.3,3081696.76,18918948.56,8323482.016,,,,203272158.9,48387276.43,29345218.83,Aceptado
240246.6304,,,146952.7568,14212.7231,8418042.833,22499770.7,390122.6156,2634403.5,,-2256753.795,-4533432.865,16211594.44,,5272612.268,9641812.774,Aceptado
326839.7952,30516808.93,7935800.235,3411101.673,1266971.893,2668960.324,35607888.25,485517.3943,1544000.267,389895.6137,18563287.18,-2299250.371,198406019.5,35463984.39,,20735036.45,Aceptado
,1678748.818,653023.6529,93513.56915,,-497130.0769,1116516.116,59477.74192,1406627.392,365224.3361,3267439.132,-2271653.66,20668852.36,14219206.84,2104317.202,1643523.55,Aceptado
458520.0213,2882848.202,3260926.45,165100.4679,,3893878.17,8984728.101,219870.1179,1182897.886,9079703.559,-6958184.515,-113079.3206,,15445452.87,,,Aceptado
,4406923.193,405289.9513,771161.0387,504027.4834,,3133861.903,190764.3344,,2749047.105,-5982104.528,-583370.8793,10524421.65,24588295.02,6376249.782,,Aceptado
498755.15,302327.3463,1591845.697,162179.1356,295162.3226,5806409.047,2585852.954,91045.34003,316549.9571,6220809.509,-17285103.33,239377.3286,6985665.308,6734723.443,,6311417.513,Aceptado
1270957.371,4123606.179,516546.7553,5040359.288,1347053.656,-3211018.983,9325274.791,326851.077,361249.0222,965344.8158,-2354309.111,-713403.4582,38485054.99,,13704053.28,15591390.16,Aceptado
1968346.631,5313079.258,311689.9279,14157104.1,1997190.793,-4222505.061,,61460.63525,1254961.616,402374.0206,-8885131.645,-733734.2683,19501925.91,73071952.68,9875454.008,11090722.74,Aceptado
1843185.885,,11735823.39,523268.0447,1419754.502,396650.2499,19703033.01,323789.0203,985731.9247,,665892.2429,,96198853.94,100206637.4,33726713.44,34317892.74,Aceptado
487712.8175,950226.3719,,100198.9431,579839.549,,1820180.605,130713.1011,,2973243.418,-6614725.515,-2865933.405,10560675.16,52335789.03,4114662.409,,Aceptado
791165.1591,,3973186.324,472305.9418,,-3182283.057,10932897.23,139636.3266,1487889.486,367231.417,,-2535027.61,63260143.09,26792132.59,10266593.7,9521511.953,Sospechoso
621636.0642,5093454.727,215508.2734,1124425.925,656995.4737,-4782918.927,3742589.035,301172.2351,1104178.409,3015231.172,-695096.9403,-276927.8102,15263721.79,19077124.57,8009399.862,8119169.118,Aceptado
150986.4792,3882165.16,731295.0241,797154.9879,1550193.518,,,276943.9756,962141.3447,1573006.575,5374429.194,-999936.3915,64025537.8,13451775.74,4027381.089,5710807.114,Aceptado
